appid,name,release_date,developer,publisher,primary_genre,is_indie,price_usd,positive_ratings,negative_ratings,total_ratings,average_playtime_min,median_playtime_min,platforms
100225,Frozen Horizon,2018-07-13,Iron Wanderer Studio,Indie Collective,Indie,True,4.44,802,564,1366,592,183,windows;mac
100226,Golden Horizon,2023-07-21,,Team17,Action,False,0.0,1692,785,2477,1271,1011,windows;linux
100227,Ashen Reckoning,2020-11-07,Indie Collective,505 Games,Action,False,37.93,3019,3697,6716,956,424,windows
100228,Eternal Citadel,2020-11-01,Dark Odyssey Studio,Devolver Digital,Action,True,12.13,487,57,544,1583,800,windows;mac
100229,Ashen Descent,2019-07-25,Rusty Frontier Studio,Solo Studio,Action,True,11.57,238,58,296,2172,1438,windows;mac;linux
100230,Lost Legacy,2022-04-12,Devolver Digital,505 Games,Adventure,False,13.77,572,53,625,422,179,windows
100231,Ashen Sanctuary,2022-11-22,Solo Studio,Indie Collective,Action,False,20.1,406,97,503,1714,546,windows;mac
100232,Crimson Reckoning,2016-04-09,EA,Raw Fury,Action,False,18.97,557,87,644,1930,1067,windows;mac
100233,Lost Legacy,2016-02-28,EA,Raw Fury,Adventure,False,14.61,1902,94,1996,690,502,windows
100234,Dark Sanctuary,2020-12-23,Rogue Legacy Studio,Team17,Indie,True,4.36,337,65,402,844,632,windows
100235,Rusty Odyssey,2018-03-15,Broken Kingdom Studio,Focus Entertainment,Indie,True,5.44,38,9,47,880,472,windows;linux
100236,Frozen Wanderer,2014-03-20,Square Enix,Indie Collective,Adventure,False,21.83,37766,8991,46757,1762,601,windows
100237,Shadow Horizon,2018-12-01,Crimson Requiem Studio,505 Games,Casual,True,3.04,278,704,982,301,204,windows
100238,Crimson Wanderer,2017-06-21,EA,Team17,Casual,False,9.84,1124,283,1407,166,80,windows
100239,Iron Frontier,2017-02-08,Void Horizon Studio,505 Games,Action,True,12.4,241,76,317,2004,1145,windows
100240,Lost Kingdom,2024-10-04,EA,Ubisoft,RPG,False,33.17,3956,888,4844,6365,4389,windows
100241,Rogue Frontier,2016-03-15,Focus Entertainment,Annapurna Interactive,RPG,False,28.56,406939,93061,500000,3949,3005,windows
100242,Ashen Colony,2022-04-08,Frozen Colony Studio,Team17,RPG,True,8.78,162,21,183,4924,2237,windows;linux
100243,Broken Colony,2020-11-23,Crimson Protocol 6 Studio,Ubisoft,Strategy,True,9.94,218,24,242,3540,1835,windows;mac;linux
100244,Rusty Uprising,2020-09-06,Square Enix,Private Division,RPG,False,39.67,6323,1948,8271,1557,680,windows;mac
100245,Eternal Horizon,2024-03-17,Ubisoft,Private Division,Action,False,24.61,17811,6876,24687,1619,829,windows
100246,Silent Protocol,2023-05-01,Raw Fury,Devolver Digital,Action,False,33.4,53,280,333,1161,732,windows
100247,Dark Legacy,2022-03-17,Private Division,Devolver Digital,RPG,False,32.61,915,313,1228,4298,3137,windows
100248,Golden Colony,2017-09-14,,Raw Fury,Free to Play,True,0.0,350,23,373,2182,1198,windows;mac
100249,Crimson Requiem,2014-07-07,Indie Collective,Raw Fury,Action,False,29.61,1449,515,1964,1680,735,windows
100250,Rusty Chronicles,2023-11-18,Paradox Interactive,Indie Collective,Adventure,False,18.5,2204,1921,4125,755,451,windows
100251,Lost Protocol 7,2016-10-08,Valve,Square Enix,Simulation,False,26.09,1137,80,1217,3319,1259,windows
100252,Void Odyssey,2010-08-18,Eternal Legacy Studio,Raw Fury,Indie,True,5.37,114,14,128,742,561,windows
100253,Lost Citadel,2016-03-26,Dark Chronicles Studio,Indie Collective,Indie,True,3.81,23,3,26,1196,570,windows;mac
100254,Golden Chronicles,2022-11-20,Paradox Interactive,Indie Collective,Action,False,19.87,11331,2608,13939,2453,1272,windows;mac;linux
100255,Lost Odyssey,2018-11-21,Solo Studio,505 Games,RPG,False,16.16,51822,4624,56446,2057,1526,windows
100256,Ashen Odyssey,2025-08-07,Rusty Frontier Studio,Focus Entertainment,Indie,True,5.99,96,9,105,827,475,windows
100257,Golden Frontier,2024-04-15,Eternal Requiem Studio,Square Enix,Indie,True,5.37,133,86,219,251,103,windows
100258,Ashen Reckoning,2024-01-12,EA,Valve,RPG,False,0.0,2142,1346,3488,4758,3794,windows;mac
100259,Crimson Descent,2010-08-25,Devolver Digital,Devolver Digital,Casual,False,10.02,181,31,212,377,289,windows;linux
100260,Golden Sanctuary 2,2018-02-13,Square Enix,EA,Action,False,26.56,327,105,432,977,526,windows
100261,Lost Requiem,2021-01-02,Crimson Legacy Studio,Private Division,Indie,True,4.45,5453,1345,6798,821,516,windows
100262,Void Odyssey 4,2025-01-14,Private Division,Annapurna Interactive,RPG,False,23.43,450,790,1240,1506,922,windows
100263,Iron Reckoning,2020-06-19,Neon Protocol Studio,Private Division,Action,True,,11,2,13,602,363,windows;mac
100264,Eternal Uprising,2020-12-08,Broken Reckoning Studio,Team17,Adventure,True,6.02,169,56,225,731,384,windows;linux
100265,Lost Uprising,2017-01-04,Ashen Legacy Studio,Team17,Indie,True,0.0,31,43,74,671,266,windows;linux
100266,Rogue Requiem,2013-09-13,Ubisoft,Devolver Digital,Strategy,False,23.33,1551,327,1878,4819,3425,windows
100267,Frozen Reckoning,2019-04-24,Devolver Digital,Square Enix,Strategy,False,25.97,1484,7,1491,1882,1427,windows;linux
100268,Frozen Descent,2021-12-21,Ubisoft,Focus Entertainment,Casual,False,8.16,9714,1935,11649,271,122,windows
100269,Rusty Protocol,2025-06-19,Solo Studio,Team17,RPG,False,20.46,901,347,1248,7603,2980,windows
100270,Lost Citadel,2011-01-26,,Square Enix,RPG,True,11.8,335,58,393,3491,2655,windows;mac;linux
100271,Lost Uprising,2022-09-19,Valve,505 Games,Action,False,25.64,6232,1776,8008,2469,1563,windows;linux
100272,Ashen Odyssey,2021-10-10,Valve,Annapurna Interactive,RPG,False,34.38,3903,906,4809,3103,2147,windows
100273,Broken Protocol,2022-04-08,Team17,EA,Action,False,23.31,4665,769,5434,2094,827,windows;linux
100274,Rogue Wanderer,2019-07-09,Paradox Interactive,Paradox Interactive,Racing,False,25.09,122,54,176,1558,743,windows
100275,Eternal Uprising,2022-04-14,Crimson Kingdom Studio,EA,Simulation,True,6.82,882,1804,2686,2767,1661,windows;mac
100276,Ashen Reckoning,2024-10-05,505 Games,Valve,Action,False,23.5,466,580,1046,868,262,windows;mac
100277,Shadow Citadel,2016-03-04,Neon Legacy Studio,Private Division,Adventure,True,8.33,179,49,228,1178,658,windows;linux
100278,Frozen Wanderer,2021-03-19,Frozen Citadel Studio,Raw Fury,Action,True,7.15,40,9,49,1492,755,windows
100279,Iron Legacy,2018-04-07,Golden Citadel Studio,Square Enix,Indie,True,4.26,47,14,61,768,384,windows
100280,Dark Requiem,2016-06-13,Square Enix,Annapurna Interactive,Action,False,25.09,1745,843,2588,2253,1062,windows
100281,Frozen Odyssey,2018-09-01,Ashen Reckoning 2 Studio,Ubisoft,Strategy,True,14.68,55,20,75,3748,1976,windows
100282,Silent Wanderer,2022-04-05,Iron Kingdom 3 Studio,Paradox Interactive,Casual,True,4.4,79,42,121,267,197,windows
100283,Void Chronicles,2023-09-22,505 Games,Indie Collective,Action,False,25.84,2889,236,3125,2589,1329,windows;mac
100284,Void Horizon,2021-01-15,,Valve,RPG,False,23.54,16069,4245,20314,2816,1843,windows;mac
100285,Rusty Uprising 6,2023-12-17,Eternal Descent Studio,Ubisoft,RPG,True,9.26,147,42,189,4374,1441,windows
100286,Golden Citadel,2022-06-02,505 Games,Solo Studio,Action,False,24.18,449,315,764,1271,497,windows
100287,Dark Chronicles,2024-08-23,Ashen Reckoning Studio,Private Division,Indie,True,3.9,1399,286,1685,1056,452,windows;mac
100288,Crimson Citadel,2015-11-28,Team17,Focus Entertainment,Adventure,False,19.74,3266,9135,12401,818,288,windows;mac;linux
100289,Rusty Descent,2011-05-24,Focus Entertainment,Ubisoft,Action,False,14.28,6240,277,6517,1866,1073,windows;mac
100290,Void Reckoning,2013-02-21,Indie Collective,Raw Fury,Simulation,False,13.3,5375,2819,8194,2880,1260,windows;mac
100291,Silent Horizon,2024-03-11,Raw Fury,505 Games,Sports,False,45.64,3064,413,3477,1936,616,windows;mac;linux
100292,Shadow Frontier,2017-10-01,Rusty Sanctuary Studio,EA,RPG,True,9.35,463,181,644,3752,1581,windows;mac
100293,Frozen Sanctuary,2020-07-04,Raw Fury,505 Games,Action,False,24.45,736,319,1055,1524,544,windows;mac
100294,Rogue Protocol,2021-09-22,Private Division,Square Enix,RPG,False,32.53,7830,3001,10831,3120,2053,windows;mac;linux
100295,Frozen Protocol,2022-04-09,Golden Horizon Studio,Ubisoft,Indie,True,5.66,106,9,115,863,548,windows
100296,Broken Kingdom,2019-02-27,Devolver Digital,Valve,Adventure,False,16.99,4909,2471,7380,1944,1422,windows
100297,Iron Legacy,2017-06-17,Private Division,Indie Collective,RPG,False,25.04,2747,45,2792,4493,1998,windows
100298,Rogue Sanctuary,2017-02-06,Iron Colony Studio,Ubisoft,RPG,True,10.42,488,185,673,4194,1436,windows;mac;linux
100299,Ashen Horizon,2012-01-06,Focus Entertainment,Devolver Digital,Action,False,14.39,12213,2156,14369,1761,1374,windows
100300,Lost Chronicles,2024-03-09,Ubisoft,Indie Collective,RPG,False,21.62,4462,4919,9381,2571,2047,windows
100301,Broken Wanderer,2022-03-28,Void Descent Studio,Team17,Adventure,True,8.36,356,51,407,806,390,windows
100302,Void Chronicles,2022-01-09,Ubisoft,EA,RPG,False,18.04,1737,1878,3615,1730,1210,windows
100303,Void Chronicles,2018-11-05,Ashen Uprising Studio,Raw Fury,Racing,True,10.99,99,765,864,88,68,windows
100304,Iron Colony,2014-08-16,Private Division,Focus Entertainment,Casual,False,5.2,14550,9039,23589,349,213,windows
100305,Silent Reckoning,2024-02-21,Team17,Valve,Strategy,False,41.9,23186,10958,34144,4746,1719,windows;linux
100306,Lost Kingdom 6,2019-05-13,Rusty Odyssey Studio,Focus Entertainment,Indie,True,3.51,247,104,351,830,428,windows
100307,Shadow Legacy,2024-09-18,Ubisoft,EA,Action,False,18.73,10786,372,11158,2424,788,windows
100308,Iron Descent,2024-10-02,Valve,Devolver Digital,RPG,False,24.08,485,7,492,5525,1840,windows;mac
100309,Rogue Protocol,2020-01-18,Crimson Colony Studio,Indie Collective,Indie,True,3.91,405,169,574,796,385,windows
100310,Eternal Frontier,2019-09-04,Shadow Kingdom Studio,Devolver Digital,Indie,True,6.08,10,1,11,872,494,windows;mac
100311,Eternal Frontier,2025-08-06,Crimson Citadel Studio,Raw Fury,Indie,True,4.05,312,98,410,831,384,windows;mac;linux
100312,Frozen Colony,2013-07-13,Golden Citadel Studio,Square Enix,Indie,True,3.63,13,2,15,900,541,windows;mac
100313,Void Descent,2019-03-28,Silent Kingdom Studio,505 Games,Indie,True,5.61,225,33,258,682,452,windows;mac
100314,Rogue Citadel,2011-02-12,Broken Reckoning Studio,Valve,Action,True,11.72,436,98,534,1624,722,windows
100315,Rusty Sanctuary,2020-05-20,,Square Enix,RPG,True,10.21,238,163,401,6076,2769,windows;linux
100316,Crimson Wanderer,2012-08-12,Ashen Descent Studio,Solo Studio,Indie,True,5.5,217,45,262,1169,898,windows
100317,Shadow Wanderer,2024-12-19,Raw Fury,Square Enix,Adventure,False,14.5,470,84,554,678,474,windows
100318,Silent Sanctuary,2022-06-19,Void Sanctuary Studio,Team17,RPG,True,0.0,2179,349,2528,2244,1302,windows;mac;linux
100319,Shadow Frontier,2023-09-09,Square Enix,Annapurna Interactive,Casual,False,8.19,25995,3655,29650,248,160,windows
100320,Lost Legacy,2022-01-15,EA,Valve,Simulation,False,27.15,787,16,803,4552,2282,windows
100321,Golden Citadel,2019-12-16,Focus Entertainment,Square Enix,Adventure,False,17.01,49731,39948,89679,1247,827,windows;mac
100322,Ashen Uprising 1,2020-05-10,Ubisoft,EA,Strategy,False,36.03,1903,502,2405,2400,966,windows;mac
100323,Silent Protocol,2016-11-11,Paradox Interactive,Devolver Digital,Racing,False,26.46,6469,2003,8472,976,427,windows;linux
100324,Iron Protocol 3,2021-01-22,Ashen Descent Studio,Solo Studio,RPG,True,14.69,152,155,307,4758,3150,windows;mac
100325,Silent Reckoning,2020-12-05,Private Division,Team17,Strategy,False,22.95,5898,3835,9733,2874,1026,windows
100326,Void Kingdom,2021-02-19,Rogue Sanctuary Studio,EA,Adventure,True,7.53,191,140,331,1058,682,windows
100327,Rusty Citadel,2022-04-21,Silent Protocol Studio,Indie Collective,Indie,True,5.67,830,462,1292,477,347,windows;mac;linux
100328,Golden Protocol,2014-05-01,Valve,Solo Studio,Free to Play,False,0.0,4741,3791,8532,1217,812,windows;mac;linux
100329,Rusty Frontier,2022-04-24,Square Enix,Raw Fury,Action,False,24.46,92,18,110,1644,526,windows
100330,Eternal Kingdom,2023-08-06,Iron Requiem Studio,Paradox Interactive,Simulation,True,9.32,153,51,204,3656,1498,windows
100331,Dark Kingdom,2022-07-22,Neon Sanctuary Studio,Valve,Indie,True,4.84,137,21,158,410,312,windows
100332,Broken Frontier,2017-07-03,Iron Legacy Studio,Indie Collective,Indie,True,3.73,207,84,291,748,356,windows;mac
100333,Void Protocol 5,2020-07-26,Team17,Paradox Interactive,RPG,False,31.77,15802,1325,17127,2983,2012,windows
100334,Iron Legacy,2017-09-20,Team17,Devolver Digital,Racing,False,28.46,219,83,302,1011,673,windows;mac;linux
100335,Rusty Descent,2020-03-05,Indie Collective,Valve,Action,False,24.64,4162,886,5048,1751,899,windows;linux
100336,Iron Legacy 1,2022-08-02,Void Chronicles Studio,Paradox Interactive,Indie,True,6.14,152,110,262,791,560,windows;mac
100337,Dark Frontier,2022-07-28,EA,Annapurna Interactive,Action,False,27.77,669,555,1224,1428,525,windows
100338,Golden Uprising,2018-09-07,Eternal Requiem Studio,Annapurna Interactive,Adventure,True,7.54,11,103,114,85,34,windows;mac
100339,Crimson Odyssey,2020-06-01,Indie Collective,Indie Collective,Action,False,17.64,936,799,1735,1313,742,windows
100340,Iron Chronicles,2021-05-24,Frozen Horizon Studio,Valve,Indie,True,5.71,618,270,888,985,487,windows;mac;linux
100341,Rogue Legacy 6,2013-08-28,Ubisoft,Devolver Digital,Adventure,False,14.44,117162,13389,130551,552,334,windows
100342,Dark Sanctuary,2024-09-14,Frozen Horizon Studio,Valve,Indie,True,3.74,1074,937,2011,548,350,windows
100343,Neon Protocol,2020-10-26,Iron Sanctuary Studio,Indie Collective,Indie,True,5.04,255,56,311,1042,654,windows;mac;linux
100344,Rogue Frontier,2021-11-05,Shadow Reckoning Studio,505 Games,Indie,True,5.16,228,110,338,424,207,windows;linux
100345,Shadow Frontier,2013-06-21,Void Chronicles Studio,505 Games,Action,True,8.15,457,370,827,846,267,windows;mac;linux
100346,Iron Uprising,2025-08-08,Annapurna Interactive,Devolver Digital,Adventure,False,11.15,2711,1747,4458,1695,1018,windows
100347,Silent Frontier,2022-06-12,Ubisoft,Ubisoft,Sports,False,26.99,2554,349,2903,1864,1051,windows
100348,Golden Uprising,2019-01-04,505 Games,Solo Studio,RPG,False,26.45,293,268,561,3495,2449,windows;linux
100349,Rogue Horizon,2018-12-02,Raw Fury,Devolver Digital,RPG,False,20.74,723,40,763,3923,1799,windows;mac;linux
100350,Ashen Uprising,2022-09-07,Indie Collective,505 Games,Free to Play,False,0.0,87734,13284,101018,2109,1259,windows;mac;linux
100351,Rusty Sanctuary,2017-07-26,Lost Descent Studio,Valve,Indie,True,4.42,2619,312,2931,821,477,windows;mac
100352,Golden Requiem,2022-12-21,Solo Studio,Team17,RPG,False,43.2,32358,2100,34458,2909,1403,windows
100353,Void Descent,2021-03-07,Neon Wanderer Studio,505 Games,Indie,True,4.02,852,62,914,1236,387,windows;mac
100354,Dark Requiem,2018-12-28,Golden Citadel Studio,Raw Fury,Indie,True,5.29,22,10,32,534,384,windows;mac
100355,Shadow Chronicles,2019-09-24,,Valve,RPG,False,16.42,3872,1318,5190,4781,2346,windows
100356,Lost Reckoning,2013-03-15,Frozen Odyssey Studio,Devolver Digital,Racing,True,10.59,333,48,381,1193,731,windows;mac;linux
100357,Eternal Uprising,2025-12-27,Rogue Horizon Studio,Annapurna Interactive,Action,True,9.29,475,254,729,1571,772,windows;mac
100358,Eternal Colony,2019-02-23,Broken Wanderer Studio,Team17,Action,True,11.31,302,30,332,1187,630,windows
100359,Silent Citadel,2021-09-22,Ubisoft,Team17,Simulation,False,23.3,483,32,515,2680,1445,windows
100360,Silent Reckoning,2012-01-23,Void Wanderer Studio,Indie Collective,Indie,True,3.63,1299,805,2104,643,363,windows;mac
100361,Eternal Chronicles,2025-03-17,Rusty Legacy Studio,Valve,Indie,True,0.0,73,39,112,986,623,windows;mac
100362,Dark Requiem,2022-02-07,Shadow Colony Studio,Raw Fury,Strategy,True,8.7,9566,1383,10949,3077,2053,windows;mac
100363,Golden Uprising,2019-11-05,Silent Legacy Studio,Solo Studio,Action,True,11.78,623,4482,5105,392,118,windows
100364,Void Frontier,2019-04-28,EA,Raw Fury,Strategy,False,20.68,34148,6787,40935,2455,896,windows;mac
100365,Golden Frontier,2025-11-17,Ashen Chronicles 2 Studio,Annapurna Interactive,Indie,True,0.0,134,95,229,619,371,windows;mac
100366,Rogue Descent,2020-10-04,Shadow Citadel Studio,Indie Collective,Action,True,10.95,50,31,81,2039,992,windows
100367,Shadow Requiem,2022-09-23,Paradox Interactive,Indie Collective,Simulation,False,30.08,3198,637,3835,782,444,windows
100368,Iron Requiem,2020-11-06,Annapurna Interactive,Private Division,Action,False,18.95,4775,258,5033,2087,875,windows;mac;linux
100369,Frozen Descent 6,2013-09-05,Annapurna Interactive,Focus Entertainment,RPG,False,31.25,3288,1526,4814,1756,653,windows;linux
100370,Ashen Odyssey,2022-09-04,505 Games,Indie Collective,Casual,False,8.79,3890,1636,5526,298,149,windows
100371,Frozen Reckoning,2011-09-02,Ubisoft,Ubisoft,Racing,False,29.55,3741,521,4262,1084,520,windows
100372,Ashen Reckoning,2020-11-14,Frozen Odyssey Studio,Private Division,Adventure,True,9.19,22,2,24,1189,378,windows
100373,Dark Descent 3,2020-05-21,Shadow Wanderer Studio,Valve,Action,True,12.38,460,80,540,1194,536,windows
100374,Golden Wanderer,2018-02-18,Devolver Digital,Team17,Sports,False,34.54,120,28,148,1589,487,windows;mac
100375,Crimson Chronicles,2025-03-22,,505 Games,Indie,True,5.11,146,51,197,573,232,windows
100376,Frozen Odyssey 6,2020-03-03,Eternal Reckoning Studio,Annapurna Interactive,Simulation,True,7.25,104,143,247,2862,2187,windows;mac
100377,Iron Descent,2016-06-26,Neon Chronicles Studio,Team17,Adventure,True,9.2,465,225,690,809,440,windows
100378,Dark Wanderer,2014-05-19,Raw Fury,Solo Studio,Adventure,False,19.36,1103,43,1146,1787,694,windows
100379,Ashen Descent 2,2019-06-11,Raw Fury,Ubisoft,Adventure,False,23.46,195,1562,1757,519,348,windows
100380,Golden Reckoning 3,2019-12-15,Indie Collective,Valve,Adventure,False,27.12,4055,1161,5216,1512,841,windows;mac
100381,Silent Wanderer,2015-05-09,505 Games,Solo Studio,Action,False,24.78,5596,228,5824,2214,1033,windows
100382,Shadow Horizon,2019-03-19,Eternal Descent Studio,Team17,Indie,True,6.42,915,738,1653,606,272,windows;linux
100383,Shadow Chronicles 6,2017-02-04,Valve,Valve,Casual,False,7.41,40902,24502,65404,354,169,windows;linux
100384,Rusty Reckoning,2023-11-16,Valve,Annapurna Interactive,Action,False,30.0,238,16,254,1739,1235,windows;mac
100385,Broken Reckoning,2025-02-28,Solo Studio,EA,Strategy,False,30.22,2334,936,3270,1540,976,windows
100386,Silent Legacy 2,2018-10-10,Solo Studio,Raw Fury,Strategy,False,17.54,1307,172,1479,3284,2137,windows;mac
100387,Shadow Protocol,2019-02-01,Private Division,Solo Studio,Adventure,False,20.7,26745,7120,33865,1151,649,windows
100388,Broken Kingdom,2019-10-05,Lost Odyssey Studio,Indie Collective,Simulation,True,10.37,1084,183,1267,2929,2331,windows
100389,Eternal Chronicles,2025-07-19,Solo Studio,Team17,Racing,False,29.43,103,74,177,838,422,windows
100390,Void Kingdom,2015-01-15,Broken Frontier Studio,EA,Simulation,True,9.79,1039,76,1115,3340,2303,windows
100391,Lost Sanctuary,2016-07-25,EA,Indie Collective,Simulation,False,,38476,8676,47152,2239,1046,windows;mac;linux
100392,Dark Kingdom,2020-05-22,Void Horizon Studio,Indie Collective,Adventure,True,8.92,2820,615,3435,911,663,windows
100393,Rusty Reckoning,2018-11-21,Lost Legacy Studio,Private Division,Action,True,8.52,71,55,126,2006,654,windows;mac
100394,Broken Odyssey,2023-06-06,Shadow Sanctuary Studio,Annapurna Interactive,Casual,True,3.51,575,124,699,199,130,windows;mac
100395,Silent Colony,2016-09-18,Valve,Focus Entertainment,Casual,False,7.94,200,785,985,265,121,windows;mac
100396,Lost Requiem,2017-07-28,Annapurna Interactive,Team17,RPG,False,30.66,534,55,589,1424,667,windows;mac
100397,Crimson Citadel,2021-09-19,Shadow Protocol Studio,Ubisoft,Casual,True,3.03,169,86,255,274,148,windows
100398,Eternal Legacy,2020-11-03,Shadow Colony Studio,Devolver Digital,RPG,True,12.23,8,34,42,2754,1896,windows
100399,Neon Descent,2016-04-08,Raw Fury,Ubisoft,Action,False,27.79,7944,8677,16621,724,564,windows
100400,Broken Frontier,2021-12-24,Devolver Digital,Ubisoft,RPG,False,28.8,2968,540,3508,5993,4583,windows;mac
100401,Rusty Odyssey,2016-05-21,Valve,Team17,RPG,False,25.19,6306,2036,8342,4948,2050,windows;mac
100402,Iron Frontier,2017-09-27,Private Division,EA,Strategy,False,23.86,3445,1122,4567,4603,1970,windows;linux
100403,Silent Uprising,2023-02-19,Focus Entertainment,Solo Studio,Strategy,False,25.84,941,348,1289,2834,2038,windows;linux
100404,Rogue Descent,2023-10-06,Raw Fury,Square Enix,Casual,False,13.84,3319,1965,5284,447,164,windows
100405,Eternal Descent,2023-12-01,Rogue Citadel Studio,Ubisoft,Casual,True,0.0,538,47,585,402,169,windows;mac
100406,Golden Uprising,2020-03-21,Valve,EA,Sports,False,54.04,177,33735,33912,1202,462,windows;mac;linux
100407,Crimson Chronicles,2025-04-16,Void Chronicles Studio,Raw Fury,Indie,True,5.57,371,45,416,819,536,windows
100408,Ashen Uprising,2019-11-04,Ashen Chronicles Studio,Annapurna Interactive,Sports,True,19.32,19,302,321,1075,390,windows
100409,Rusty Wanderer,2017-11-28,Iron Protocol 4 Studio,Private Division,Indie,True,3.63,341,214,555,448,296,windows
100410,Void Frontier,2024-02-21,Ashen Colony Studio,Solo Studio,RPG,True,9.7,5789,770,6559,1678,667,windows
100411,Ashen Colony,2023-03-24,Valve,Indie Collective,Adventure,False,15.42,8933,4299,13232,1486,895,windows
100412,Void Frontier,2021-03-15,Raw Fury,EA,Action,False,34.32,1513,320,1833,1305,536,windows;mac
100413,Iron Reckoning,2025-09-20,Iron Reckoning 1 Studio,Focus Entertainment,Indie,True,5.27,297,39,336,896,607,windows
100414,Rusty Requiem,2023-03-19,Golden Wanderer Studio,Team17,Indie,True,6.04,42,26,68,822,649,windows
100415,Lost Horizon,2025-09-13,Frozen Colony Studio,505 Games,Indie,True,6.41,122,54,176,672,305,windows;linux
100416,Shadow Colony,2022-02-07,Frozen Kingdom Studio,Solo Studio,Strategy,True,9.49,259,46,305,1176,387,windows
100417,Golden Descent,2011-07-12,Dark Kingdom Studio,Devolver Digital,Action,True,7.83,3923,463,4386,1307,631,windows;linux
100418,Ashen Legacy,2018-11-14,Neon Kingdom Studio,Indie Collective,Sports,True,11.91,1505,708,2213,898,481,windows
100419,Ashen Uprising,2018-09-07,Broken Colony Studio,Private Division,Indie,True,5.72,1319,217,1536,896,423,windows
100420,Ashen Citadel,2018-02-28,Ubisoft,Valve,Action,False,27.15,209,69,278,2107,670,windows
100421,Crimson Requiem,2021-12-19,Iron Uprising Studio,Square Enix,Indie,True,4.92,483,67,550,618,219,windows;mac
100422,Neon Reckoning,2014-09-06,Valve,Paradox Interactive,Simulation,False,22.07,6162,3256,9418,937,700,windows
100423,Frozen Sanctuary,2025-11-04,Iron Odyssey Studio,Annapurna Interactive,Indie,True,5.77,1124,214,1338,1026,678,windows
100424,Broken Sanctuary,2019-02-28,Ashen Frontier Studio,505 Games,Action,True,10.49,440,358,798,2078,1192,windows;mac;linux
100425,Silent Protocol,2023-04-06,Private Division,Paradox Interactive,RPG,False,42.93,53835,24253,78088,4207,3064,windows
100426,Crimson Odyssey,2021-04-15,EA,Annapurna Interactive,RPG,False,33.99,1238,324,1562,3741,1908,windows;linux
100427,Shadow Reckoning,2019-12-25,Neon Horizon Studio,Raw Fury,Indie,True,3.56,217,125,342,629,488,windows;mac
100428,Eternal Legacy,2020-01-11,Square Enix,Valve,RPG,False,31.71,328,160,488,4430,2324,windows;mac;linux
100429,Silent Kingdom 3,2023-01-15,Paradox Interactive,Raw Fury,Simulation,False,21.15,9310,2846,12156,2300,873,windows;mac
100430,Shadow Legacy,2022-05-08,Rusty Descent Studio,Solo Studio,Simulation,True,9.89,132,50,182,2708,1573,windows;mac
100431,Crimson Protocol,2019-05-04,,Devolver Digital,Indie,True,6.0,416,118,534,523,217,windows
100432,Golden Reckoning,2018-07-15,Void Requiem Studio,Private Division,Action,True,11.47,807,203,1010,1868,696,windows
100433,Eternal Descent,2017-07-12,Broken Protocol 7 Studio,Focus Entertainment,Indie,True,4.6,10783,3931,14714,912,707,windows
100434,Frozen Descent,2008-07-24,Square Enix,Solo Studio,RPG,False,22.6,1747,648,2395,5487,3766,windows;mac
100435,Neon Reckoning,2025-06-13,Rusty Descent Studio,EA,Adventure,True,7.13,105,42,147,455,162,windows
100436,Rusty Odyssey,2018-09-23,Crimson Kingdom Studio,Focus Entertainment,RPG,True,11.01,1692,11702,13394,2517,1431,windows
100437,Eternal Reckoning,2017-04-12,Shadow Chronicles Studio,Ubisoft,Indie,True,5.43,137,50,187,1129,615,windows
100438,Silent Descent,2022-12-09,Private Division,Private Division,Action,False,22.53,950,403,1353,1340,922,windows
100439,Lost Chronicles,2023-10-08,Rogue Chronicles Studio,Paradox Interactive,Casual,True,2.51,589,80,669,424,203,windows
100440,Neon Sanctuary,2019-07-04,,Square Enix,Indie,True,3.61,3,18,21,331,232,windows;mac;linux
100441,Frozen Frontier,2014-12-11,,505 Games,Free to Play,False,0.0,794,205,999,2751,1905,windows
100442,Golden Chronicles,2022-08-22,Paradox Interactive,EA,Strategy,False,34.13,523,828,1351,2580,988,windows
100443,Shadow Protocol,2019-09-12,Ashen Sanctuary Studio,Square Enix,Indie,True,5.89,4450,545,4995,648,252,windows;mac;linux
100444,Frozen Horizon,2022-02-07,Annapurna Interactive,Indie Collective,Action,False,29.15,671,320,991,342,184,windows
100445,Dark Protocol,2016-05-12,Ashen Colony Studio,Focus Entertainment,Indie,True,5.14,42,9,51,1391,1086,windows;mac;linux
100446,Iron Horizon,2021-10-22,Ashen Chronicles Studio,Ubisoft,Indie,True,6.13,245,42,287,1114,384,windows;mac
100447,Crimson Kingdom,2015-09-26,Neon Chronicles Studio,Indie Collective,Strategy,True,13.42,450,58,508,3060,1125,windows;mac;linux
100448,Shadow Colony,2019-12-28,Eternal Kingdom Studio,EA,Indie,True,5.28,38,11,49,1027,757,windows
100449,Rogue Legacy,2024-11-23,Team17,Team17,Action,False,18.33,890,356,1246,2422,1637,windows
100450,Void Uprising,2015-02-06,Silent Horizon Studio,Focus Entertainment,Indie,True,6.2,320,56,376,508,246,windows
100451,Frozen Wanderer,2022-06-12,Silent Wanderer Studio,Team17,Adventure,True,8.61,2,2,4,491,297,windows;linux
100452,Rogue Horizon,2019-04-27,Iron Uprising Studio,Paradox Interactive,Indie,True,0.0,216,47,263,1298,680,windows
